Incoming,Answered,Abandoned,Answertime,Duration,Waitingtime
217,204,13,17,134,165
200,182,18,20,142,415
216,198,18,18,158,230
155,145,10,15,149,192
37,37,0,3,126,35
315,304,11,18,95,157
252,244,8,13,110,122
213,205,8,10,130,202
219,200,19,15,138,372
371,348,23,19,100,209
166,164,2,12,130,166
32,32,0,2,123,3
231,222,9,8,109,138
205,197,8,7,112,168
338,313,25,13,111,220
180,174,6,13,138,206
226,211,15,20,124,293
226,212,14,10,123,165
45,44,1,2,124,55
218,194,24,26,163,388
187,174,13,15,136,279
191,184,7,10,129,220
188,174,14,15,145,189
154,148,6,10,147,216
166,150,16,18,146,278
58,57,1,4,146,58
160,153,7,10,143,165
86,79,7,32,163,280
180,170,10,23,151,345
210,192,18,26,136,335
163,157,6,14,139,175
143,140,3,15,140,283
57,55,2,6,123,110
179,172,7,13,137,203
194,184,10,24,144,199
201,196,5,15,136,293
218,189,29,32,157,484
194,190,4,16,142,122
227,219,8,15,164,235
52,52,0,9,136,52
385,370,15,20,131,190
137,130,7,16,146,587
254,252,2,10,128,70
211,206,5,11,144,277
282,279,3,7,138,71
262,260,2,8,151,73
65,63,2,12,142,130
325,323,2,5,133,74
235,230,5,5,139,58
215,212,3,5,134,58
85,85,0,3,146,55
195,195,0,5,144,133
188,182,6,15,134,111
58,58,0,6,142,52
251,247,4,14,136,113
181,178,3,12,144,117
228,213,15,26,136,187
165,163,2,9,145,140
185,179,6,17,137,153
172,164,8,18,147,249
57,51,6,7,107,220
200,192,8,10,138,169
202,199,3,8,125,77
217,212,5,7,115,110
225,223,2,9,129,66
235,231,4,8,139,66
202,201,1,8,141,113
43,39,4,11,135,110
194,187,7,10,147,150
202,199,3,13,143,118
146,140,6,12,133,275
147,145,2,9,135,58
155,145,10,12,153,273
157,156,1,9,144,53
38,36,2,13,131,59
166,162,4,9,149,165
226,216,10,13,135,106
253,247,6,10,114,77
134,134,0,3,133,26
70,67,3,12,121,76
83,82,1,7,123,76
42,40,2,8,111,96
66,64,2,5,120,99
153,146,7,20,128,272
141,135,6,23,126,135
146,143,3,17,117,147
144,140,4,12,113,125
105,103,2,17,115,121
36,35,1,16,114,91
61,57,4,4,120,221
60,58,2,11,128,94
18,17,1,5,159,20
206,202,4,9,114,70
194,193,1,11,117,94
206,200,6,10,128,120
53,53,0,18,128,130
147,145,2,9,110,84
201,197,4,9,119,143
202,198,4,10,129,71
226,219,7,10,132,165
167,163,4,7,129,110
164,164,0,11,137,105
42,41,1,11,129,78
79,78,1,7,143,48
165,162,3,9,129,110
180,174,6,16,136,103
179,176,3,10,146,110
217,215,2,8,128,127
171,167,4,10,135,110
37,37,0,9,117,82
215,206,9,18,129,165
218,212,6,16,137,129
205,202,3,11,145,97
195,190,5,12,142,74
181,176,5,13,133,76
212,206,6,11,140,109
33,32,1,8,148,55
298,287,11,13,95,171
158,156,2,11,143,92
156,154,2,12,133,61
163,163,0,10,122,166
98,98,0,7,130,70
255,249,6,15,139,331
50,49,1,8,122,57
290,289,1,12,121,70
296,281,15,22,128,270
260,257,3,17,133,80
201,193,8,19,143,122
132,131,1,17,133,90
167,165,2,9,126,57
85,79,6,18,145,113
244,236,8,21,149,116
186,182,4,14,133,98
278,264,14,19,140,130
272,268,4,15,150,105
218,206,12,25,141,221
152,148,4,14,138,85
48,43,5,22,121,81
186,181,5,14,140,109
182,180,2,8,130,58
192,188,4,20,118,116
155,148,7,14,144,138
144,142,2,11,139,65
164,162,2,12,155,110
27,26,1,11,124,77
177,175,2,11,139,95
134,131,3,14,143,99
125,120,5,14,140,172
167,163,4,16,144,72
169,167,2,9,134,104
162,160,2,16,135,91
25,25,0,16,155,58
157,146,11,17,137,111
166,154,12,25,138,219
58,55,3,16,131,165
75,74,1,15,133,198
28,28,0,7,148,51
108,107,1,9,131,59
21,21,0,7,178,58
189,182,7,21,130,286
161,155,6,19,147,110
155,151,4,17,140,109
161,150,11,17,142,165
132,129,3,27,142,154
122,119,3,16,144,110
17,17,0,21,160,58
45,45,0,6,126,57
177,172,5,20,143,171
133,132,1,10,145,59
177,167,10,15,142,275
127,124,3,16,142,105
148,147,1,16,131,191
23,23,0,32,122,163
141,134,7,24,158,149
124,120,4,20,153,178
165,156,9,25,141,158
168,166,2,21,153,223
198,188,10,22,152,165
139,133,6,17,160,183
46,45,1,10,134,76
184,174,10,23,157,275
207,190,17,21,143,246
191,180,11,21,152,113
213,204,9,24,146,166
483,451,32,16,57,525
547,526,21,19,81,234
54,53,1,25,156,78
275,261,14,22,133,132
205,195,10,24,154,180
80,77,3,10,131,93
200,195,5,21,150,168
154,150,4,21,149,165
163,155,8,23,138,146
12,12,0,25,217,88
218,212,6,20,116,251
172,163,9,18,129,113
205,194,11,18,144,101
178,168,10,23,148,170
214,201,13,23,131,144
169,161,8,23,137,275
46,46,0,25,144,95
183,177,6,18,150,67
208,190,18,21,145,110
234,224,10,22,135,200
204,194,10,18,137,110
204,189,15,21,135,236
99,99,0,16,145,62
29,27,2,19,167,142
167,159,8,23,148,275
164,161,3,17,155,97
158,147,11,21,154,123
165,161,4,17,146,66
129,124,5,23,148,110
155,149,6,23,146,259
24,22,2,28,144,81
209,200,9,23,144,131
239,226,13,26,139,170
229,210,19,29,143,496
194,172,22,23,140,376
202,179,23,24,136,170
268,254,14,15,111,160
52,49,3,18,138,137
414,397,17,23,118,332
346,325,21,27,142,165
187,179,8,25,134,179
203,186,17,24,158,275
204,194,10,18,153,122
126,121,5,21,152,111
36,36,0,17,127,91
180,165,15,27,150,139
169,162,7,20,145,113
155,151,4,21,140,165
169,137,32,38,144,330
61,45,16,32,169,330
167,136,31,42,156,328
32,27,5,35,142,190
