MinTemp,Snowfall,YR,MO,DA,Rain
-5.555555556,10.16,45,2,22,6
-12.22222222,17.78,45,2,24,3
-7.777777778,22.86,45,3,2,1
0.555555556,12.7,45,3,3,0
1.666666667,25.4,45,3,11,1
-17.22222222,10.16,45,1,1,1
-20.55555556,10.16,45,1,2,0
-8.888888889,12.7,45,1,3,1
-7.222222222,10.16,45,1,4,2
-13.33333333,12.7,45,1,5,0
-4.444444444,2.54,45,1,7,9
-16.66666667,15.24,45,1,8,0
-15.55555556,15.24,45,1,9,1
-4.444444444,10.16,45,1,10,6
-3.333333333,5.08,45,1,11,1
-9.444444444,25.4,45,1,12,3
-14.44444444,25.4,45,1,13,0
-12.77777778,25.4,45,1,14,1
-12.77777778,2.54,45,2,5,0
-13.88888889,2.54,45,2,8,1
-14.44444444,5.08,45,2,9,6
-12.77777778,5.08,45,2,22,0
-3.333333333,17.78,45,3,3,1
2.777777778,10.16,45,3,4,0
-7.222222222,2.54,45,3,6,1
-6.666666667,7.62,45,3,7,2
0.555555556,17.78,45,3,8,0
-11.66666667,2.54,45,3,11,7
-6.111111111,2.54,45,3,15,1
-12.22222222,7.62,45,3,26,3
-5.555555556,2.54,45,4,4,5
-7.222222222,7.62,45,4,5,1
-8.333333333,5.08,45,4,7,8
-3.888888889,7.62,45,9,30,7
-6.111111111,2.54,45,10,3,3
-1.111111111,2.54,45,11,5,1
-3.888888889,5.08,45,11,7,1
-3.333333333,15.24,45,11,11,0
-19.44444444,15.24,45,11,16,5
-2.222222222,7.62,45,11,17,0
-9.444444444,5.08,45,11,18,1
-2.777777778,5.08,45,11,25,2
-11.11111111,20.32,45,11,27,2
-18.33333333,7.62,45,12,4,3
-8.888888889,17.78,45,12,5,5
-16.66666667,15.24,45,12,7,0
-10.55555556,17.78,45,12,8,20
-3.888888889,30.48,45,12,9,3
-3.333333333,20.32,45,12,10,2
-1.111111111,7.62,45,12,11,3
-1.111111111,5.08,45,12,12,1
-2.777777778,2.54,45,12,14,5
-3.888888889,2.54,45,12,19,3
-10.55555556,25.4,45,1,2,2
-4.444444444,30.48,45,1,3,7
-5.555555556,45.72,45,1,4,0
-6.111111111,45.72,45,1,5,5
-8.888888889,15.24,45,1,8,9
-9.444444444,15.24,45,1,9,4
-1.111111111,17.78,45,1,10,1
-3.888888889,12.7,45,1,11,5
-5.555555556,17.78,45,1,12,4
-6.666666667,17.78,45,1,13,0
-5.555555556,17.78,45,1,14,0
-3.333333333,17.78,45,1,22,1
-4.444444444,27.94,45,1,23,0
-4.444444444,27.94,45,1,24,5
-11.11111111,22.86,45,2,9,0
-12.22222222,22.86,45,2,20,3
-13.33333333,27.94,45,2,21,1
-11.11111111,27.94,45,2,22,2
-2.222222222,33.02,45,3,2,6
-2.222222222,33.02,45,3,3,2
-2.222222222,40.64,45,3,4,0
0.555555556,22.86,45,3,5,14
-7.222222222,22.86,45,3,6,5
-6.111111111,30.48,45,3,7,1
-0.555555556,45.72,45,3,8,3
-7.222222222,20.32,45,3,9,13
-10.55555556,20.32,45,3,11,7
-3.888888889,22.86,45,3,19,5
-11.11111111,22.86,45,3,27,8
-5.555555556,25.4,45,3,28,3
-5.555555556,30.48,45,4,3,1
-10.55555556,35.56,45,4,4,3
-10.55555556,38.1,45,4,6,5
-10.55555556,35.56,45,4,9,2
-5.555555556,33.02,45,4,19,2
-1.666666667,35.56,45,4,20,5
-2.777777778,40.64,45,4,21,3
-1.666666667,25.4,45,4,28,3
0.555555556,20.32,45,4,29,1
0.555555556,17.78,45,5,1,17
-0.555555556,12.7,45,5,2,2
-1.111111111,10.16,45,5,7,1
1.111111111,7.62,45,5,8,6
1.111111111,5.08,45,5,9,3
1.111111111,5.08,45,5,10,1
-4.444444444,2.54,45,5,15,0
-0.555555556,2.54,45,9,30,4
-0.555555556,5.08,45,10,17,15
-1.111111111,2.54,45,10,24,10
-1.666666667,2.54,45,11,2,2
-2.222222222,5.08,45,11,7,0
-1.666666667,5.08,45,11,11,0
-1.666666667,2.54,45,11,17,0
-2.777777778,5.08,45,11,18,0
-0.555555556,12.7,45,11,25,5
-2.222222222,7.62,45,11,26,4
-7.222222222,17.78,45,11,27,7
-7.777777778,15.24,45,12,2,0
-10.55555556,12.7,45,12,4,2
-3.333333333,27.94,45,12,5,0
-7.222222222,30.48,45,12,7,1
-5.555555556,33.02,45,12,8,1
-0.555555556,81.28,45,12,9,10
0.555555556,50.8,45,12,10,5
-0.555555556,27.94,45,12,11,5
-3.333333333,10.16,45,12,18,3
-3.888888889,60.96,45,12,19,0
-15.55555556,2.54,45,3,9,0
-18.88888889,7.62,45,3,11,0
-26.11111111,7.62,45,3,12,4
-20.55555556,5.08,45,3,31,0
-21.66666667,10.16,45,4,4,0
-22.77777778,10.16,45,4,5,0
-7.777777778,10.16,45,4,26,2
-7.777777778,5.08,45,9,30,0
-4.444444444,5.08,45,10,1,2
-11.66666667,2.54,45,10,31,5
-18.33333333,5.08,45,11,9,1
-12.77777778,7.62,45,11,11,0
-24.44444444,7.62,45,12,10,11
-2.777777778,2.54,45,1,1,4
-5.555555556,5.08,45,1,10,3
-13.33333333,2.54,45,1,11,6
-7.222222222,2.54,45,1,13,0
-13.88888889,7.62,45,1,14,2
-8.888888889,2.54,45,1,19,4
-6.666666667,10.16,45,2,9,2
-9.444444444,2.54,45,2,28,0
-9.444444444,7.62,45,3,1,15
-4.444444444,2.54,45,1,13,3
-2.222222222,10.16,45,1,14,0
-7.222222222,10.16,45,3,1,1
-0.555555556,5.08,45,1,5,2
-5.555555556,2.54,45,1,8,1
-3.888888889,2.54,45,1,9,6
-4.444444444,7.62,45,1,23,1
-0.555555556,2.54,45,1,22,2
